From Apr. 16 2005,Intel,120920,10.32
From Apr. 16 2005,Red Hat,92934,7.93
From Apr. 16 2005,Linaro,41942,3.58
From Apr. 16 2005,AMD,34984,2.99
From Apr. 16 2005,Google,33165,2.83
From Apr. 16 2005,Huawei,24402,2.08
From Apr. 16 2005,NVIDIA,13645,1.16
From Apr. 16 2005,ARM,11668,1
From Apr. 16 2005,QUALCOMM,7468,0.64
Linux-6.9(on-going),Intel,1602,11.73
Linux-6.9(on-going),Linaro,806,5.9
Linux-6.9(on-going),AMD,748,5.48
Linux-6.9(on-going),Google,617,4.52
Linux-6.9(on-going),Red Hat,515,3.77
Linux-6.9(on-going),QUALCOMM,297,2.17
Linux-6.9(on-going),Huawei,274,2.01
Linux-6.9(on-going),NVIDIA,216,1.58
Linux-6.9(on-going),ARM,169,1.24
Linux-6.8(2024-03-10),Intel,2511,17.45
Linux-6.8(2024-03-10),Linaro,922,6.41
Linux-6.8(2024-03-10),Red Hat,748,5.2
Linux-6.8(2024-03-10),Google,648,4.5
Linux-6.8(2024-03-10),AMD,631,4.39
Linux-6.8(2024-03-10),NVIDIA,264,1.83
Linux-6.8(2024-03-10),QUALCOMM,258,1.79
Linux-6.8(2024-03-10),Huawei,202,1.4
Linux-6.8(2024-03-10),ARM,138,0.96
Linux-6.7(2024-01-07),Intel,1746,10.1
Linux-6.7(2024-01-07),AMD,1089,6.3
Linux-6.7(2024-01-07),Google,898,5.2
Linux-6.7(2024-01-07),Linaro,767,4.44
Linux-6.7(2024-01-07),Red Hat,742,4.29
Linux-6.7(2024-01-07),Huawei,463,2.68
Linux-6.7(2024-01-07),NVIDIA,320,1.85
Linux-6.7(2024-01-07),QUALCOMM,193,1.12
Linux-6.7(2024-01-07),ARM,147,0.85
Linux-6.6(2023-10-29),Intel,1128,8.02
Linux-6.6(2023-10-29),Linaro,1007,7.16
Linux-6.6(2023-10-29),Huawei,896,6.37
Linux-6.6(2023-10-29),Google,704,5
Linux-6.6(2023-10-29),Red Hat,663,4.71
Linux-6.6(2023-10-29),AMD,630,4.48
Linux-6.6(2023-10-29),NVIDIA,428,3.04
Linux-6.6(2023-10-29),QUALCOMM,223,1.59
Linux-6.6(2023-10-29),ARM,84,0.6
Linux-6.5(2023-08-27),Intel,1380,10.18
Linux-6.5(2023-08-27),AMD,1199,8.84
Linux-6.5(2023-08-27),Linaro,1004,7.41
Linux-6.5(2023-08-27),Red Hat,721,5.32
Linux-6.5(2023-08-27),Google,701,5.17
Linux-6.5(2023-08-27),NVIDIA,378,2.79
Linux-6.5(2023-08-27),Huawei,304,2.24
Linux-6.5(2023-08-27),QUALCOMM,278,2.05
Linux-6.5(2023-08-27),ARM,180,1.33
Linux-6.4(2023-06-25),Intel,1481,9.99
Linux-6.4(2023-06-25),Linaro,1212,8.17
Linux-6.4(2023-06-25),Google,836,5.64
Linux-6.4(2023-06-25),Red Hat,729,4.92
Linux-6.4(2023-06-25),AMD,613,4.13
Linux-6.4(2023-06-25),NVIDIA,380,2.56
Linux-6.4(2023-06-25),QUALCOMM,218,1.47
Linux-6.4(2023-06-25),Huawei,163,1.1
Linux-6.4(2023-06-25),ARM,90,0.61
Linux-6.3(2023-04-23),Linaro,1505,10.44
Linux-6.3(2023-04-23),Intel,1349,9.36
Linux-6.3(2023-04-23),Red Hat,931,6.46
Linux-6.3(2023-04-23),Google,655,4.54
Linux-6.3(2023-04-23),AMD,581,4.03
Linux-6.3(2023-04-23),NVIDIA,447,3.1
Linux-6.3(2023-04-23),Huawei,365,2.53
Linux-6.3(2023-04-23),QUALCOMM,203,1.41
Linux-6.3(2023-04-23),ARM,111,0.77
