KernelVersion,URL
From Apr. 16 2005,https://remword.com/kps_result/all_whole.html
Linux-6.9(on-going),https://remword.com/kps_result/6.9_whole.html
Linux-6.8(2024-03-10),https://remword.com/kps_result/6.8_whole.html
Linux-6.7(2024-01-07),https://remword.com/kps_result/6.7_whole.html
Linux-6.6(2023-10-29),https://remword.com/kps_result/6.6_whole.html
Linux-6.5(2023-08-27),https://remword.com/kps_result/6.5_whole.html
Linux-6.4(2023-06-25),https://remword.com/kps_result/6.4_whole.html
Linux-6.3(2023-04-23),https://remword.com/kps_result/6.3_whole.html
Linux-6.2(2023-02-19),https://remword.com/kps_result/6.2_whole.html
Linux-6.1(2022-12-11),https://remword.com/kps_result/6.1_whole.html
Linux-6.0(2022-10-02),https://remword.com/kps_result/6.0_whole.html
Linux-5.19(2022-07-31),https://remword.com/kps_result/5.19_whole.html
Linux-5.18(2022-05-22),https://remword.com/kps_result/5.18_whole.html
Linux-5.17(2022-03-20),https://remword.com/kps_result/5.17_whole.html
Linux-5.16(2022-01-09),https://remword.com/kps_result/5.16_whole.html
Linux-5.15(2021-10-31),https://remword.com/kps_result/5.15_whole.html
Linux-5.14(2021-08-29),https://remword.com/kps_result/5.14_whole.html
Linux-5.13(2021-06-27),https://remword.com/kps_result/5.13_whole.html
Linux-5.12(2021-04-25),https://remword.com/kps_result/5.12_whole.html
Linux-5.11(2021-02-14),https://remword.com/kps_result/5.11_whole.html
Linux-5.10(2020-12-13),https://remword.com/kps_result/5.10_whole.html
Linux-5.9(2020-10-11),https://remword.com/kps_result/5.9_whole.html
Linux-5.8(2020-08-02),https://remword.com/kps_result/5.8_whole.html
Linux-5.7(2020-05-31),https://remword.com/kps_result/5.7_whole.html
Linux-5.6(2020-03-29),https://remword.com/kps_result/5.6_whole.html
Linux-5.5(2020-01-26),https://remword.com/kps_result/5.5_whole.html
Linux-5.4(2019-11-24),https://remword.com/kps_result/5.4_whole.html
Linux-5.3(2019-09-15),https://remword.com/kps_result/5.3_whole.html
Linux-5.2(2019-07-07),https://remword.com/kps_result/5.2_whole.html
Linux-5.1(2019-05-05),https://remword.com/kps_result/5.1_whole.html
Linux-5.0(2019-03-03),https://remword.com/kps_result/5.0_whole.html
Linux-4.20(2018-12-23),https://remword.com/kps_result/4.20_whole.html
